id,path,reader_score,editor_score,author_score,priority,status,notes
M001,00_源方案分析/01_多模型去重与贡献矩阵.md,80,92,85,P0,accepted,第1轮审阅修复完成(2026-02-15)
M002,01_项目驾驶舱/作品宪法.md,88,95,82,P0,ready,全局约束母文件
M003,01_项目驾驶舱/五卷总规划.md,92,89,78,P0,ready,节奏主轴
M004,02_正史资产_Canon/规则/硬规则_R1-R3.md,84,98,81,P0,ready,硬门禁
M005,02_正史资产_Canon/规则/观测与干预规则.md,78,94,79,P0,ready,规则补充
M006,02_正史资产_Canon/人物/主角_林逸.yml,90,93,75,P0,ready,主角动机边界
M007,02_正史资产_Canon/人物/主角_黑隼.yml,87,91,74,P0,ready,双魂另一极
M008,02_正史资产_Canon/伏笔账本.yml,91,94,73,P0,ready,主线闭环关键
M009,03_规划层/章纲模板.md,83,88,90,P0,ready,执行入口模板
M010,07_提示词合约/00_系统约束.md,74,92,93,P0,ready,流程契约总控
M011,06_验证与回归/章节验收清单.md,79,95,88,P0,ready,章节质控门禁
M012,08_自动化/模型路由与成本.yml,70,84,96,P1,ready,成本与效率治理
M013,06_验证与回归/季度回归模板.md,76,86,90,P1,ready,阶段回归
M014,04_草稿层/README.md,72,80,94,P1,ready,执行层流程说明
M015,05_定稿层/README.md,75,85,89,P1,ready,发布层流程说明
M016,09_参考资料/README.md,68,72,88,P2,ready,辅助资料区
